DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON,Premis Desc
02/06/2025 12:00:00 AM,1002,West LA,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",17,M,2900 S  ROBERTSON                    BL,34.0348,-118.3893,HIGH SCHOOL
03/27/2025 12:00:00 AM,1200,Harbor,VEHICLE - STOLEN,0,,2500    NAVY                         WY,33.7315,-118.2399,STREET
01/27/2025 12:00:00 AM,1800,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,900 W  37TH                         PL,34.0199,-118.2909,STREET
02/10/2025 12:00:00 AM,1539,Mission,BATTERY - SIMPLE ASSAULT,17,F,WOODALE,34.2518,-118.4398,STREET
03/06/2025 12:00:00 AM,1330,Wilshire,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,100 N  CLARK                        DR,34.0753,-118.3849,STREET
03/12/2025 12:00:00 AM,1300,Northeast,CRIMINAL THREATS - NO WEAPON DISPLAYED,14,F,1700    YOSEMITE                     DR,34.1331,-118.2042,HIGH SCHOOL
01/23/2025 12:00:00 AM,1012,Southwest,VEHICLE - STOLEN,0,,3400 S  FIGUEROA                     ST,34.022,-118.28,STREET
01/14/2025 12:00:00 AM,15,Pacific,VEHICLE - STOLEN,0,,700    WORLD WY,33.9431,-118.401,GARAGE/CARPORT
03/06/2025 12:00:00 AM,1330,Wilshire,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,100 N  CLARK                        DR,34.0753,-118.3849,STREET
01/27/2025 12:00:00 AM,2034,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,300    TERMINAL                     WY,33.7408,-118.2678,STREET
02/24/2025 12:00:00 AM,1413,Devonshire,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",15,F,11200    GOTHIC                       AV,34.2737,-118.4887,HIGH SCHOOL
02/03/2025 12:00:00 AM,1650,Northeast,BURGLARY FROM VEHICLE,32,M,2800 E  OBSERVATORY                  RD,34.1192,-118.3004,PARK/PLAYGROUND
01/15/2025 12:00:00 AM,2316,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,1700 E  PACIFIC COAST                HY,33.7974,-118.2372,STREET
02/14/2025 12:00:00 AM,1500,77th Street,CRIMINAL THREATS - NO WEAPON DISPLAYED,13,M,6000 S  VERMONT                      AV,33.9855,-118.2915,BUS STOP
02/08/2025 12:00:00 AM,1430,Hollenbeck,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,700 S  INDIANA                      ST,34.0248,-118.1956,JUNIOR HIGH SCHOOL
02/26/2025 12:00:00 AM,827,West LA,CRIMINAL THREATS - NO WEAPON DISPLAYED,0,X,1600    SELBY                        AV,34.0546,-118.4372,JUNIOR HIGH SCHOOL
03/06/2025 12:00:00 AM,2026,Southwest,VEHICLE - STOLEN,0,,600 W  JEFFERSON                    BL,34.0225,-118.2812,STREET
02/24/2025 12:00:00 AM,1130,Southeast,BATTERY - SIMPLE ASSAULT,14,M,9300 S  HOOVER                       ST,33.9519,-118.287,JUNIOR HIGH SCHOOL
03/27/2025 12:00:00 AM,837,Harbor,VEHICLE - ATTEMPT STOLEN,32,F,18400 S  HOOVER                       ST,33.8684,-118.2858,PARKING LOT
